Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B12 (Cobalamin) (µg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2016-9-29,"Rice and beans","1.00 cup",365.38,0.00,0.00,150.98,0.42,0.00,0.08,1.97,0.65,0.20,180.75,43.86,1.59,0.00,1.05,25.56,47.56,0.30,3.59,86.24,0.97,193.81,439.71,13.57,471.72,1.68,53.53,9.65,31.30,1.68,11.73,0.00,2.61,0.86,5.73,6.59,1.93,0.06,0.16,0.32,0.52,0.95,0.73,0.20,0.64,12.01,0.48,0.14,0.35,0.64
2016-9-29,"Chapati or roti bread (Indian bread)","2.00 large - 8"" diameter",296.53,0.00,0.00,35.24,0.33,0.00,0.11,3.30,0.40,0.27,29.33,6.00,0.00,0.00,1.12,15.80,23.41,0.27,2.41,91.47,2.71,237.99,242.05,44.82,309.86,1.73,47.98,7.13,38.51,0.27,9.57,0.00,1.99,0.59,4.76,5.34,1.52,0.04,0.18,0.24,0.30,0.60,0.24,0.15,0.45,8.81,0.24,0.12,0.18,0.38
2016-9-29,"Cake with fruit","0.25 cup",43.47,0.02,0.00,8.79,0.03,0.01,0.02,0.19,0.04,0.01,4.61,35.12,0.31,0.64,0.04,1.58,17.81,0.01,0.18,2.30,0.05,8.09,24.94,1.30,41.56,0.05,8.50,0.20,2.13,6.14,0.92,4.39,0.24,0.00,0.05,0.05,0.55,0.03,0.01,0.01,0.02,0.04,0.02,0.01,0.03,0.53,0.02,0.01,0.02,0.03
2016-9-30,"Egg, whole, cooked, poached","1.00 large",71.50,,,37.93,0.02,0.36,0.19,0.03,0.76,0.07,17.50,269.00,,41.00,0.52,0.15,28.00,0.04,0.88,6.00,0.01,98.50,69.00,15.30,148.50,0.65,0.36,,,0.19,4.74,185.00,1.82,0.06,0.78,0.95,1.56,0.02,0.14,0.15,0.33,0.54,0.45,0.19,0.34,6.26,0.28,0.08,0.25,0.43
2016-9-30,"Biscuit, homemade","2.00 small - 2"" diameter",242.15,0.00,0.00,22.00,0.25,0.11,0.19,1.86,0.21,0.02,40.94,38.75,0.04,9.98,0.13,5.63,130.37,0.05,1.65,9.57,0.22,90.17,93.17,11.09,266.31,0.32,26.41,0.95,23.24,2.15,13.50,1.63,7.23,0.07,2.09,2.22,3.61,2.87,0.07,0.09,0.15,0.29,0.13,0.08,0.20,3.89,0.12,0.05,0.13,0.17
2016-9-30,"Coffee creamer, liquid","2.00 container - each 0.5 fl oz",33.69,0.00,0.00,23.87,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.92,1.12,0.00,0.00,0.16,0.00,0.00,0.05,0.04,3.37,0.02,4.01,0.00,0.00,1.40,2.15,0.00,1.29,0.00,0.34,0.35,0.49,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-9-30,"Tap water","2.00 cup",0.00,0.00,0.00,473.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.22,0.05,0.00,4.74,0.00,0.00,0.00,0.00,18.96,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2016-9-30,"Rice and beans","1.00 cup",365.38,0.00,0.00,150.98,0.42,0.00,0.08,1.97,0.65,0.20,180.75,43.86,1.59,0.00,1.05,25.56,47.56,0.30,3.59,86.24,0.97,193.81,439.71,13.57,471.72,1.68,53.53,9.65,31.30,1.68,11.73,0.00,2.61,0.86,5.73,6.59,1.93,0.06,0.16,0.32,0.52,0.95,0.73,0.20,0.64,12.01,0.48,0.14,0.35,0.64
2016-9-30,"Brown rice, steamed","0.97 cup",239.84,0.00,0.00,137.02,0.35,0.00,0.13,4.99,0.74,0.24,17.55,0.00,0.00,0.00,0.33,0.39,5.85,0.21,1.09,76.05,1.90,200.84,167.69,11.31,7.80,1.38,49.88,3.12,48.34,0.47,1.89,0.00,0.72,0.02,0.69,0.71,0.51,0.00,0.06,0.13,0.21,0.42,0.19,0.11,0.26,5.34,0.19,0.06,0.19,0.29
2016-9-30,"Yogurt, plain, whole milk","1.00 cup",149.45,0.00,0.00,215.36,0.07,0.91,0.35,0.18,0.95,0.08,17.15,242.55,1.23,4.90,0.21,0.51,296.46,0.02,0.12,29.40,0.01,232.75,379.76,5.39,112.70,1.45,11.42,0.00,0.00,11.42,7.96,31.85,2.19,0.07,0.16,0.23,5.14,0.17,0.08,0.21,0.46,0.86,0.76,0.25,0.46,8.50,0.35,0.05,0.43,0.70
