Day,Food Name,Amount,Energy (kcal),Alcohol (g),Caffeine (mg),Water (g),B1 (Thiamine) (mg),B12 (Cobalamin) (µg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),Folate (µg),Vitamin A (IU),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Starch (g),Sugars (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Omega-3 (g),Omega-6 (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Cystine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Protein (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g)
2016-11-26,"Milk, whole","0.50 cup",74.42,0.00,0.00,107.52,0.06,0.55,0.21,0.11,0.46,0.04,6.10,197.63,0.00,62.22,0.09,0.37,137.86,0.03,0.04,12.20,0.00,102.48,161.04,4.51,52.46,0.45,5.86,0.00,0.00,6.16,3.96,12.20,0.99,0.09,0.15,0.24,2.28,0.14,0.02,0.12,0.20,0.36,0.32,0.10,0.20,3.84,0.16,0.05,0.19,0.25
2016-11-27,"Apple pie, bottom and top crust","0.60 piece - double crust - 1/8 of 9"" pie",250.94,0.00,0.00,50.88,0.18,0.00,0.12,1.29,0.11,0.02,28.53,14.45,0.49,0.00,0.21,5.57,6.63,0.05,1.11,6.37,0.18,25.46,59.46,7.37,178.58,0.17,32.93,1.25,15.44,15.84,12.46,6.82,4.98,0.12,2.29,2.43,4.40,1.30,0.05,0.05,0.08,0.15,0.05,0.04,0.11,2.27,0.06,0.03,0.07,0.09
2016-11-27,"Nejaime's Lavasch Crisp Flatbread, Restaurant Style Whole Grain (Venus)","0.94 FDA Serving Size",129.23,0.00,0.00,3.27,0.24,0.00,0.12,1.71,0.22,0.06,38.64,1.90,0.26,0.00,0.66,2.61,11.25,0.08,1.21,19.00,0.51,60.13,68.55,11.32,131.41,0.46,20.65,1.95,18.12,0.22,3.90,0.00,2.19,0.31,0.89,1.20,0.34,0.01,0.07,0.08,0.12,0.23,0.10,0.06,0.17,3.36,0.10,0.04,0.09,0.14
2016-11-27,"Trader Joe's, palak paneer, frozen","1.00 x 0.5 Package",250.00,0.00,,,,,,,,,,1250.00,1.20,,,,300.00,,2.70,,,,,,800.00,,8.00,3.00,1.00,4.00,19.00,15.00,,,,,6.00,0.00,,,,,,,,11.00,,,,
2016-11-27,"Shortbread cookies, homemade","1.00 each - approx 1 1/2"" x 1""",88.41,0.00,0.00,3.43,0.08,0.00,0.05,0.62,0.05,0.00,13.40,255.54,0.01,0.00,0.34,7.28,3.09,0.02,0.48,2.43,0.07,12.39,13.33,3.54,50.32,0.07,10.08,0.32,7.60,2.16,4.88,0.00,2.06,0.16,1.39,1.56,1.03,0.34,0.02,0.02,0.04,0.07,0.02,0.02,0.05,1.08,0.03,0.01,0.03,0.04
2016-11-27,"Milk, whole","0.50 cup",74.42,0.00,0.00,107.52,0.06,0.55,0.21,0.11,0.46,0.04,6.10,197.63,0.00,62.22,0.09,0.37,137.86,0.03,0.04,12.20,0.00,102.48,161.04,4.51,52.46,0.45,5.86,0.00,0.00,6.16,3.96,12.20,0.99,0.09,0.15,0.24,2.28,0.14,0.02,0.12,0.20,0.36,0.32,0.10,0.20,3.84,0.16,0.05,0.19,0.25
2016-11-27,"Biryani (Indian seasoned rice), without meat","2.00 cup",226.83,0.00,0.00,283.39,0.10,0.00,0.10,1.04,0.76,0.25,42.70,1925.33,27.79,0.00,1.18,41.01,45.81,0.15,1.75,31.90,0.98,74.32,233.73,10.93,320.25,0.97,42.66,3.72,35.20,2.39,4.62,0.00,3.09,0.08,0.48,0.56,0.71,0.01,0.08,0.11,0.21,0.34,0.22,0.09,0.22,5.15,0.18,0.06,0.14,0.27
2016-11-27,"Banana, fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0.00,0.00,88.39,0.04,0.00,0.09,0.78,0.39,0.43,23.60,75.52,10.27,0.00,0.15,0.59,5.90,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,0.39,0.00,0.04,0.03,0.05,0.09,0.13,0.00,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06
2016-11-28,"Fried egg sandwich","1.00 sandwich",228.04,0.00,0.00,56.43,0.30,0.56,0.38,2.42,0.97,0.10,77.53,366.13,0.00,43.51,0.76,3.25,97.68,0.06,2.40,16.56,0.28,135.47,126.91,26.40,422.02,0.90,25.29,1.35,18.59,3.42,8.94,186.50,3.19,0.18,1.94,2.13,2.40,0.15,0.22,0.23,0.48,0.80,0.57,0.26,0.52,10.72,0.42,0.12,0.37,0.55
2016-11-28,"Vegetables, broccoli and cauliflower, frozen, boiled, drained","1.00 250ml",46.66,0.00,0.00,179.53,0.09,0.00,0.13,0.75,0.36,0.21,68.90,2354.76,69.50,0.00,1.36,109.23,66.47,0.07,0.99,28.31,0.46,77.13,310.54,2.44,40.89,0.42,8.86,4.89,1.55,2.42,0.32,0.00,0.02,,,0.15,0.05,0.00,0.04,0.09,0.18,0.23,0.24,0.06,0.15,4.59,0.16,0.05,0.10,0.22
2016-11-28,"Vegetable soup, plain, homemade","1.00 cup",96.93,0.00,0.00,253.08,0.26,0.00,0.10,1.41,0.61,0.29,52.98,2751.85,34.97,0.00,0.95,58.57,57.51,0.16,1.04,35.87,0.35,77.97,472.83,1.81,189.97,0.55,19.16,4.24,8.27,5.09,1.72,0.00,0.35,0.16,0.76,0.92,0.28,0.01,0.04,0.07,0.12,0.18,0.17,0.04,0.12,3.11,0.12,0.04,0.08,0.15
2016-11-28,"Wheat bread","1.50 large slice - 4 1/2"" x 4 1/4"" x 1/2""",172.22,0.00,0.00,22.70,0.27,0.00,0.16,3.62,0.53,0.07,54.82,1.29,0.13,0.00,0.12,3.16,85.79,0.10,2.25,29.03,0.76,96.10,114.16,18.58,327.66,0.77,31.40,2.58,23.23,3.81,2.09,0.00,0.39,0.09,0.88,0.97,0.50,0.02,0.08,0.08,0.14,0.25,0.12,0.06,0.17,6.91,0.11,0.05,0.09,0.17
2016-11-28,"Butter, unsalted","1.00 tbsp",101.72,0.00,0.00,2.55,0.00,0.02,0.00,0.01,0.02,0.00,0.43,354.55,0.00,1.46,0.33,0.99,3.41,0.00,0.00,0.28,0.00,3.41,3.41,0.14,1.56,0.01,0.01,0.00,0.00,0.01,11.51,30.50,3.32,0.04,0.26,0.43,7.16,0.47,0.00,0.00,0.01,0.01,0.01,0.00,0.01,0.12,0.01,0.00,0.01,0.01
2016-11-28,"Millet, cooked","1.00 cup",207.06,,,124.25,0.18,,0.14,2.31,0.30,0.19,33.06,5.22,,,0.03,0.52,5.22,0.28,1.10,76.56,0.47,174.00,107.88,1.57,3.48,1.58,41.19,2.26,38.70,0.23,1.74,,0.32,0.05,0.84,0.88,0.30,,0.12,0.13,0.26,0.78,0.12,0.12,0.32,6.11,0.20,0.07,0.19,0.32
2016-11-28,"Mustard greens, cooked, boiled, drained, with salt","1.00 cup, chopped",36.40,,,128.49,0.06,,0.09,0.61,0.17,0.14,12.60,14751.80,35.42,,2.49,829.78,165.20,0.14,1.22,18.20,,58.80,226.80,0.84,352.80,0.21,6.31,2.80,1.54,1.97,0.66,,0.15,0.03,0.03,0.06,0.02,,,,,,,,,3.58,,,,
2016-11-28,"Banana, fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0.00,0.00,88.39,0.04,0.00,0.09,0.78,0.39,0.43,23.60,75.52,10.27,0.00,0.15,0.59,5.90,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,0.39,0.00,0.04,0.03,0.05,0.09,0.13,0.00,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06
2016-11-28,"Cookies","12.60 g",59.98,,,,,,,,,,,89.96,,,,,,,0.32,,,,,,44.98,,8.40,0.30,3.30,4.80,2.70,8.95,,,,,1.50,0.00,,,,,,,,0.60,,,,
2016-11-29,"Fried egg sandwich","1.00 sandwich",228.04,0.00,0.00,56.43,0.30,0.56,0.38,2.42,0.97,0.10,77.53,366.13,0.00,43.51,0.76,3.25,97.68,0.06,2.40,16.56,0.28,135.47,126.91,26.40,422.02,0.90,25.29,1.35,18.59,3.42,8.94,186.50,3.19,0.18,1.94,2.13,2.40,0.15,0.22,0.23,0.48,0.80,0.57,0.26,0.52,10.72,0.42,0.12,0.37,0.55
2016-11-29,"Baguette","0.60 regular - about 9"" long",248.06,0.00,0.00,30.10,0.65,0.00,0.39,4.39,0.41,0.10,112.18,0.00,0.00,0.00,0.19,0.64,47.42,0.14,3.57,29.18,0.53,95.76,106.70,26.08,549.02,0.95,47.31,2.01,40.34,4.21,2.21,0.00,0.33,0.06,0.72,0.78,0.48,0.00,0.21,0.19,0.34,0.63,0.27,0.14,0.45,9.80,0.26,0.11,0.17,0.39
2016-11-29,"Subway Veggie Delite Sandwich, no mayo","1.00 each - 6"" sub",267.00,0.00,0.00,113.39,0.36,0.17,0.25,4.73,0.80,0.16,82.44,558.52,12.03,33.11,0.48,15.34,232.15,0.17,3.09,47.23,1.03,208.09,311.97,25.08,458.76,1.36,42.53,4.23,28.60,6.97,6.07,11.00,1.40,0.14,1.23,1.38,2.63,0.15,0.12,0.17,0.29,0.52,0.33,0.13,0.34,11.20,0.24,0.09,0.22,0.35
2016-11-29,"Biryani (Indian seasoned rice), without meat","2.00 cup",226.83,0.00,0.00,283.39,0.10,0.00,0.10,1.04,0.76,0.25,42.70,1925.33,27.79,0.00,1.18,41.01,45.81,0.15,1.75,31.90,0.98,74.32,233.73,10.93,320.25,0.97,42.66,3.72,35.20,2.39,4.62,0.00,3.09,0.08,0.48,0.56,0.71,0.01,0.08,0.11,0.21,0.34,0.22,0.09,0.22,5.15,0.18,0.06,0.14,0.27
2016-11-29,"Banana, fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0.00,0.00,88.39,0.04,0.00,0.09,0.78,0.39,0.43,23.60,75.52,10.27,0.00,0.15,0.59,5.90,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,0.39,0.00,0.04,0.03,0.05,0.09,0.13,0.00,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06
2016-11-29,"Milk, whole","0.50 cup",74.42,0.00,0.00,107.52,0.06,0.55,0.21,0.11,0.46,0.04,6.10,197.63,0.00,62.22,0.09,0.37,137.86,0.03,0.04,12.20,0.00,102.48,161.04,4.51,52.46,0.45,5.86,0.00,0.00,6.16,3.96,12.20,0.99,0.09,0.15,0.24,2.28,0.14,0.02,0.12,0.20,0.36,0.32,0.10,0.20,3.84,0.16,0.05,0.19,0.25
2016-11-30,"Fried egg sandwich","1.00 sandwich",228.04,0.00,0.00,56.43,0.30,0.56,0.38,2.42,0.97,0.10,77.53,366.13,0.00,43.51,0.76,3.25,97.68,0.06,2.40,16.56,0.28,135.47,126.91,26.40,422.02,0.90,25.29,1.35,18.59,3.42,8.94,186.50,3.19,0.18,1.94,2.13,2.40,0.15,0.22,0.23,0.48,0.80,0.57,0.26,0.52,10.72,0.42,0.12,0.37,0.55
2016-11-30,"Panera Bread Bear Claw","0.60 piece",330.00,,,,,,,,,,,450.00,3.60,,,,60.00,,1.62,,,,,,216.00,,40.80,1.80,19.20,19.80,16.80,42.00,,,,,7.20,0.30,,,,,,,,6.00,,,,
2016-11-30,"Butternut squash soup","1.00 cup",134.63,0.00,0.00,209.07,0.12,0.01,0.04,1.57,0.62,0.27,20.55,10702.84,15.13,0.98,1.10,4.91,46.87,0.17,0.71,34.99,0.24,54.79,443.96,0.70,749.82,0.35,28.09,4.07,16.56,4.87,2.23,6.11,0.56,0.05,0.14,0.19,1.29,0.07,0.03,0.05,0.09,0.13,0.12,0.03,0.09,1.98,0.09,0.03,0.07,0.11
2016-11-30,"Vegetables, broccoli and cauliflower, frozen, boiled, drained","1.00 250ml",46.66,0.00,0.00,179.53,0.09,0.00,0.13,0.75,0.36,0.21,68.90,2354.76,69.50,0.00,1.36,109.23,66.47,0.07,0.99,28.31,0.46,77.13,310.54,2.44,40.89,0.42,8.86,4.89,1.55,2.42,0.32,0.00,0.02,,,0.15,0.05,0.00,0.04,0.09,0.18,0.23,0.24,0.06,0.15,4.59,0.16,0.05,0.10,0.22
2016-11-30,"Trader Joe's, palak paneer, frozen","1.00 x 0.5 Package",250.00,0.00,,,,,,,,,,1250.00,1.20,,,,300.00,,2.70,,,,,,800.00,,8.00,3.00,1.00,4.00,19.00,15.00,,,,,6.00,0.00,,,,,,,,11.00,,,,
2016-11-30,"Banana, fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0.00,0.00,88.39,0.04,0.00,0.09,0.78,0.39,0.43,23.60,75.52,10.27,0.00,0.15,0.59,5.90,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,0.39,0.00,0.04,0.03,0.05,0.09,0.13,0.00,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06
2016-11-30,"Milk, whole","0.50 cup",74.42,0.00,0.00,107.52,0.06,0.55,0.21,0.11,0.46,0.04,6.10,197.63,0.00,62.22,0.09,0.37,137.86,0.03,0.04,12.20,0.00,102.48,161.04,4.51,52.46,0.45,5.86,0.00,0.00,6.16,3.96,12.20,0.99,0.09,0.15,0.24,2.28,0.14,0.02,0.12,0.20,0.36,0.32,0.10,0.20,3.84,0.16,0.05,0.19,0.25
2016-11-30,"Nejaime's Lavasch Crisp Flatbread, Restaurant Style Whole Grain (Venus)","0.94 FDA Serving Size",129.23,0.00,0.00,3.27,0.24,0.00,0.12,1.71,0.22,0.06,38.64,1.90,0.26,0.00,0.66,2.61,11.25,0.08,1.21,19.00,0.51,60.13,68.55,11.32,131.41,0.46,20.65,1.95,18.12,0.22,3.90,0.00,2.19,0.31,0.89,1.20,0.34,0.01,0.07,0.08,0.12,0.23,0.10,0.06,0.17,3.36,0.10,0.04,0.09,0.14
2016-12-1,"Biscuit, homemade","0.60 small - 2"" diameter",72.65,0.00,0.00,6.60,0.08,0.03,0.06,0.56,0.06,0.01,12.28,11.62,0.01,3.00,0.04,1.69,39.11,0.01,0.49,2.87,0.06,27.05,27.95,3.33,79.89,0.10,7.92,0.29,6.97,0.65,4.05,0.49,2.17,0.02,0.63,0.67,1.08,0.86,0.02,0.03,0.04,0.09,0.04,0.02,0.06,1.17,0.03,0.01,0.04,0.05
2016-12-1,"CedarLane, frittata, spinach & roasted tomato, CedarLean, frozen, with egg whites","1.00 Each",160.00,0.00,,,,,,,,,,750.00,6.00,,,,150.00,,0.36,,,,,,300.00,,16.00,5.00,6.00,5.00,6.00,20.00,,,,,4.00,0.00,,,,,,,,10.00,,,,
2016-12-1,"Vegetable juice","1.00 cup",53.46,0.00,0.00,228.64,0.12,0.00,0.08,1.75,0.61,0.17,51.03,1715.56,131.95,0.00,2.48,14.82,34.02,0.17,0.68,26.73,0.19,46.17,449.55,0.49,410.67,0.29,9.40,1.21,0.73,6.90,0.75,0.00,0.15,0.03,0.16,0.18,0.21,0.00,0.02,0.04,0.05,0.07,0.07,0.01,0.07,2.26,0.07,0.02,0.03,0.05
2016-12-1,"Shortbread cookies, homemade","2.00 each - approx 1 1/2"" x 1""",176.83,0.00,0.00,6.86,0.16,0.01,0.11,1.23,0.10,0.01,26.81,511.09,0.01,0.00,0.68,14.56,6.17,0.03,0.97,4.87,0.14,24.79,26.67,7.09,100.64,0.15,20.16,0.63,15.21,4.31,9.76,0.00,4.12,0.31,2.79,3.11,2.06,0.67,0.05,0.05,0.08,0.15,0.05,0.04,0.11,2.17,0.06,0.03,0.07,0.09
2016-12-1,"Millet, cooked","1.00 cup",207.06,,,124.25,0.18,,0.14,2.31,0.30,0.19,33.06,5.22,,,0.03,0.52,5.22,0.28,1.10,76.56,0.47,174.00,107.88,1.57,3.48,1.58,41.19,2.26,38.70,0.23,1.74,,0.32,0.05,0.84,0.88,0.30,,0.12,0.13,0.26,0.78,0.12,0.12,0.32,6.11,0.20,0.07,0.19,0.32
2016-12-1,"Mustard greens, cooked, boiled, drained, with salt","1.00 cup, chopped",36.40,,,128.49,0.06,,0.09,0.61,0.17,0.14,12.60,14751.80,35.42,,2.49,829.78,165.20,0.14,1.22,18.20,,58.80,226.80,0.84,352.80,0.21,6.31,2.80,1.54,1.97,0.66,,0.15,0.03,0.03,0.06,0.02,,,,,,,,,3.58,,,,
2016-12-1,"Banana, fresh","1.00 medium - 7"" to 7 7/8"" long",105.02,0.00,0.00,88.39,0.04,0.00,0.09,0.78,0.39,0.43,23.60,75.52,10.27,0.00,0.15,0.59,5.90,0.09,0.31,31.86,0.32,25.96,422.44,1.18,1.18,0.18,26.95,3.07,6.35,14.43,0.39,0.00,0.04,0.03,0.05,0.09,0.13,0.00,0.01,0.09,0.03,0.08,0.06,0.01,0.06,1.29,0.03,0.01,0.01,0.06
2016-12-1,"Milk, whole","0.50 cup",74.42,0.00,0.00,107.52,0.06,0.55,0.21,0.11,0.46,0.04,6.10,197.63,0.00,62.22,0.09,0.37,137.86,0.03,0.04,12.20,0.00,102.48,161.04,4.51,52.46,0.45,5.86,0.00,0.00,6.16,3.96,12.20,0.99,0.09,0.15,0.24,2.28,0.14,0.02,0.12,0.20,0.36,0.32,0.10,0.20,3.84,0.16,0.05,0.19,0.25
2016-12-2,"Biscuit, homemade","1.00 small - 2"" diameter",121.08,0.00,0.00,11.00,0.13,0.05,0.10,0.93,0.10,0.01,20.47,19.37,0.02,4.99,0.06,2.82,65.18,0.02,0.82,4.79,0.11,45.08,46.59,5.55,133.16,0.16,13.20,0.48,11.62,1.08,6.75,0.82,3.62,0.04,1.05,1.11,1.80,1.44,0.04,0.05,0.07,0.14,0.06,0.04,0.10,1.95,0.06,0.02,0.07,0.09
2016-12-2,"Eggs, cooked","2.00 medium",136.40,0.00,0.00,65.67,0.06,0.98,0.45,0.06,1.23,0.11,38.72,457.60,0.00,76.56,0.91,0.26,44.00,0.01,1.05,8.80,0.02,151.36,110.88,27.10,109.12,0.92,0.99,0.00,0.00,0.99,9.34,328.24,3.59,0.06,1.18,1.24,2.87,0.00,0.26,0.26,0.60,0.95,0.80,0.34,0.59,11.07,0.53,0.13,0.45,0.67
2016-12-2,"Nejaime's Lavasch Crisp Flatbread, Restaurant Style Whole Grain (Venus)","0.94 FDA Serving Size",129.23,0.00,0.00,3.27,0.24,0.00,0.12,1.71,0.22,0.06,38.64,1.90,0.26,0.00,0.66,2.61,11.25,0.08,1.21,19.00,0.51,60.13,68.55,11.32,131.41,0.46,20.65,1.95,18.12,0.22,3.90,0.00,2.19,0.31,0.89,1.20,0.34,0.01,0.07,0.08,0.12,0.23,0.10,0.06,0.17,3.36,0.10,0.04,0.09,0.14
2016-12-2,"Trader Joe's Channa Masala","2.00 Serving",360.00,,,,,,,,,,,400.00,12.00,,,,80.00,,3.60,,,,,,,,40.00,10.00,20.00,10.00,18.00,,,,,,4.00,,,,,,,,,10.00,,,,
2016-12-2,"Brown rice, steamed","1.00 cup",248.45,0.00,0.00,141.94,0.36,0.00,0.14,5.17,0.77,0.25,18.18,0.00,0.00,0.00,0.34,0.40,6.06,0.21,1.13,78.78,1.97,208.05,173.72,11.72,8.08,1.43,51.67,3.23,50.07,0.48,1.96,0.00,0.75,0.02,0.72,0.74,0.53,0.00,0.06,0.13,0.22,0.43,0.20,0.12,0.27,5.53,0.19,0.07,0.20,0.31
2016-12-2,"Mustard greens, cooked, boiled, drained, with salt","1.00 cup, chopped",36.40,,,128.49,0.06,,0.09,0.61,0.17,0.14,12.60,14751.80,35.42,,2.49,829.78,165.20,0.14,1.22,18.20,,58.80,226.80,0.84,352.80,0.21,6.31,2.80,1.54,1.97,0.66,,0.15,0.03,0.03,0.06,0.02,,,,,,,,,3.58,,,,
2016-12-2,"Yogurt, plain, whole milk","0.50 cup",74.73,0.00,0.00,107.68,0.04,0.45,0.17,0.09,0.48,0.04,8.58,121.28,0.61,2.45,0.11,0.26,148.23,0.01,0.06,14.70,0.00,116.38,189.88,2.70,56.35,0.72,5.71,0.00,0.00,5.71,3.98,15.93,1.09,0.03,0.08,0.11,2.57,0.09,0.04,0.11,0.23,0.43,0.38,0.12,0.23,4.25,0.17,0.02,0.21,0.35
2016-12-2,"Milk, whole","0.50 cup",74.42,0.00,0.00,107.52,0.06,0.55,0.21,0.11,0.46,0.04,6.10,197.63,0.00,62.22,0.09,0.37,137.86,0.03,0.04,12.20,0.00,102.48,161.04,4.51,52.46,0.45,5.86,0.00,0.00,6.16,3.96,12.20,0.99,0.09,0.15,0.24,2.28,0.14,0.02,0.12,0.20,0.36,0.32,0.10,0.20,3.84,0.16,0.05,0.19,0.25
2016-12-3,"Amy's Organics Breakfast Burrito","1.35 Serving",364.50,,,,,,,,,,,270.00,6.48,,,,108.00,,2.43,,,,,,729.00,,51.30,6.75,40.50,4.05,10.80,,,,,,1.35,,,,,,,,,14.85,,,,
2016-12-3,"Pumpkin pie","1.20 piece - single crust - 1/8 of 9"" pie",381.26,0.00,0.00,118.04,0.20,0.25,0.37,1.48,0.89,0.09,42.91,10787.10,3.84,53.38,1.10,16.71,166.37,0.12,2.17,34.31,0.40,174.00,338.49,12.65,430.88,0.81,48.06,2.80,14.03,30.06,18.02,77.57,6.80,0.18,2.57,2.77,7.31,1.44,0.12,0.20,0.41,0.67,0.50,0.19,0.39,8.08,0.32,0.11,0.34,0.45
2016-12-3,"Grapefruit, fresh, pink or red","1.00 medium - 4"" diameter",107.52,0.00,0.00,225.43,0.11,0.00,0.08,0.52,0.67,0.14,33.28,2944.00,79.87,0.00,0.41,0.00,56.32,0.08,0.20,23.04,0.06,46.08,345.60,0.26,0.00,0.18,27.29,4.10,0.00,17.64,0.36,0.00,0.05,0.02,0.07,0.09,0.05,0.00,0.02,0.02,0.02,0.04,0.05,0.02,0.03,1.97,0.03,0.02,0.02,0.04
2016-12-3,"Rice noodles, cooked","1.50 cup",285.12,,,194.88,0.05,,0.01,0.19,0.03,0.02,2.64,,,,0.08,,10.56,0.10,0.37,7.92,0.30,52.80,10.56,11.88,50.16,0.66,63.39,2.64,60.67,0.08,0.53,,0.07,0.01,0.05,0.06,0.06,,0.08,0.12,0.19,0.39,0.16,0.11,0.25,4.73,0.17,0.06,0.25,0.27
2016-12-3,"Cream of Wheat, Instant, Plain","1.00 packet - prepared",101.08,0.00,0.00,160.92,0.36,0.00,0.34,4.93,0.13,0.50,98.84,1234.52,0.00,0.00,0.09,0.17,204.66,0.06,8.01,9.14,0.31,19.88,37.80,5.60,166.20,0.25,21.17,0.64,19.81,0.08,0.34,0.00,0.05,0.02,0.17,0.19,0.06,0.00,0.06,0.06,0.12,0.21,0.07,0.05,0.15,2.72,0.09,0.04,0.09,0.13
2016-12-4,"Croissant, plain","1.00 small",191.27,0.00,0.00,18.22,0.21,0.12,0.17,1.45,0.24,0.02,37.53,355.07,0.02,10.28,0.35,0.98,22.50,0.04,1.10,7.00,0.16,46.14,50.77,9.20,55.53,0.29,19.70,0.75,16.42,2.54,11.04,41.66,3.19,0.05,0.37,0.53,6.64,0.42,0.06,0.08,0.14,0.25,0.13,0.07,0.17,3.39,0.11,0.04,0.12,0.16
2016-12-4,"Pumpkin pie","1.50 piece - single crust - 1/8 of 9"" pie",476.57,0.00,0.00,147.55,0.25,0.31,0.47,1.86,1.12,0.11,53.64,13483.88,4.80,66.72,1.37,20.89,207.96,0.14,2.72,42.89,0.50,217.51,423.11,15.81,538.60,1.02,60.07,3.50,17.54,37.57,22.52,96.96,8.50,0.22,3.21,3.46,9.14,1.80,0.15,0.24,0.51,0.84,0.62,0.24,0.49,10.10,0.40,0.13,0.42,0.57
2016-12-4,"Nejaime's Lavasch Crisp Flatbread, Restaurant Style Whole Grain (Venus)","0.94 FDA Serving Size",129.23,0.00,0.00,3.27,0.24,0.00,0.12,1.71,0.22,0.06,38.64,1.90,0.26,0.00,0.66,2.61,11.25,0.08,1.21,19.00,0.51,60.13,68.55,11.32,131.41,0.46,20.65,1.95,18.12,0.22,3.90,0.00,2.19,0.31,0.89,1.20,0.34,0.01,0.07,0.08,0.12,0.23,0.10,0.06,0.17,3.36,0.10,0.04,0.09,0.14
2016-12-4,"Naan (Indian tandoori flatbread)","0.40 each - 10"" diameter",220.26,0.00,0.00,31.39,0.41,0.11,0.27,3.30,0.38,0.03,69.69,231.99,0.14,1.39,0.37,0.75,40.40,0.08,1.78,13.66,0.32,70.19,89.65,16.44,236.49,0.56,30.25,1.14,27.74,1.37,8.23,21.08,2.05,0.05,0.51,0.56,4.87,0.29,0.12,0.13,0.24,0.45,0.20,0.12,0.30,6.03,0.18,0.07,0.19,0.30
2016-12-4,"Trader Joe's, palak paneer, frozen","2.00 x 0.5 Package",500.00,0.00,,,,,,,,,,2500.00,2.40,,,,600.00,,5.40,,,,,,1600.00,,16.00,6.00,2.00,8.00,38.00,30.00,,,,,12.00,0.00,,,,,,,,22.00,,,,
2016-12-5,"Croissant, plain","1.00 small",191.27,0.00,0.00,18.22,0.21,0.12,0.17,1.45,0.24,0.02,37.53,355.07,0.02,10.28,0.35,0.98,22.50,0.04,1.10,7.00,0.16,46.14,50.77,9.20,55.53,0.29,19.70,0.75,16.42,2.54,11.04,41.66,3.19,0.05,0.37,0.53,6.64,0.42,0.06,0.08,0.14,0.25,0.13,0.07,0.17,3.39,0.11,0.04,0.12,0.16
2016-12-5,"Pumpkin pie","1.00 piece - single crust - 1/8 of 9"" pie",317.71,0.00,0.00,98.37,0.16,0.21,0.31,1.24,0.74,0.08,35.76,8989.25,3.20,44.48,0.91,13.93,138.64,0.10,1.81,28.59,0.33,145.00,282.07,10.54,359.07,0.68,40.05,2.33,11.69,25.05,15.01,64.64,5.67,0.15,2.14,2.30,6.10,1.20,0.10,0.16,0.34,0.56,0.41,0.16,0.33,6.73,0.27,0.09,0.28,0.38
2016-12-5,"Rice noodles, cooked","1.50 cup",285.12,,,194.88,0.05,,0.01,0.19,0.03,0.02,2.64,,,,0.08,,10.56,0.10,0.37,7.92,0.30,52.80,10.56,11.88,50.16,0.66,63.39,2.64,60.67,0.08,0.53,,0.07,0.01,0.05,0.06,0.06,,0.08,0.12,0.19,0.39,0.16,0.11,0.25,4.73,0.17,0.06,0.25,0.27
2016-12-5,"Millet, cooked","1.00 cup",207.06,,,124.25,0.18,,0.14,2.31,0.30,0.19,33.06,5.22,,,0.03,0.52,5.22,0.28,1.10,76.56,0.47,174.00,107.88,1.57,3.48,1.58,41.19,2.26,38.70,0.23,1.74,,0.32,0.05,0.84,0.88,0.30,,0.12,0.13,0.26,0.78,0.12,0.12,0.32,6.11,0.20,0.07,0.19,0.32
2016-12-5,"Beets, cooked from fresh","1.00 each - 2"" diameter",22.00,0.00,0.00,43.53,0.01,0.00,0.02,0.17,0.07,0.03,40.00,17.50,1.80,0.00,0.02,0.10,8.00,0.04,0.40,11.50,0.16,19.00,152.50,0.35,38.50,0.18,4.98,1.00,0.27,3.98,0.09,0.00,0.02,0.00,0.03,0.03,0.01,0.00,0.01,0.01,0.03,0.04,0.03,0.01,0.02,0.84,0.02,0.01,0.02,0.03
